deltaT, accX, accY, accZ, thetaX, thetaY, thetaZ
12380, -0.0627441, -0.0339355, 0.9013672, -2.2327759, 4.1652359, -1.6985442
9872, -0.0603027, -0.0324707, 0.8977051, -2.2267367, 4.1582870, -1.6996212
9816, -0.0676270, -0.0317383, 0.9050293, -2.2191238, 4.1579065, -1.6989418
9832, -0.0671387, -0.0332031, 0.9018555, -2.2134838, 4.1571111, -1.6997136
9840, -0.0656738, -0.0344238, 0.9123536, -2.2099204, 4.1531057, -1.7010960
9816, -0.0642090, -0.0336914, 0.8984375, -2.2072393, 4.1502695, -1.7027524
9808, -0.0678711, -0.0349121, 0.9057618, -2.2053048, 4.1489787, -1.7036769
12368, -0.0642090, -0.0317383, 0.9069825, -2.1975848, 4.1451349, -1.7022985
9852, -0.0634766, -0.0410156, 0.9013672, -2.2033412, 4.1407165, -1.7001075
9804, -0.0678711, -0.0329590, 0.9047852, -2.1960167, 4.1406297, -1.6994280
9812, -0.0673828, -0.0380859, 0.9060059, -2.1964023, 4.1413373, -1.7008105
9792, -0.0700684, -0.0419922, 0.9011231, -2.2032780, 4.1414709, -1.7021930
9792, -0.0678711, -0.0336914, 0.9082032, -2.1974949, 4.1405487, -1.7018960
9812, -0.0700684, -0.0290527, 0.9057618, -2.1874639, 4.1432676, -1.7024532
12364, -0.0632324, -0.0405273, 0.9060059, -2.1929671, 4.1385474, -1.7017304
9840, -0.0661621, -0.0400391, 0.9047852, -2.1964352, 4.1353144, -1.7010680
17368, -0.0698242, -0.0336914, 0.9052735, -2.1907124, 4.1349964, -1.6995251
12128, -0.0700684, -0.0380859, 0.9160157, -2.1917829, 4.1376485, -1.6988023
9916, -0.0725098, -0.0373535, 0.9147950, -2.1914975, 4.1435427, -1.6983977
9840, -0.0737305, -0.0322266, 0.9157715, -2.1837196, 4.1492428, -1.7006962
12400, -0.0649414, -0.0344238, 0.9104004, -2.1811201, 4.1453475, -1.7018055
9884, -0.0683594, -0.0388184, 0.9045411, -2.1834356, 4.1457080, -1.7015086
9816, -0.0646973, -0.0410156, 0.9062500, -2.1855337, 4.1416792, -1.7017910
9812, -0.0666504, -0.0388184, 0.9057618, -2.1867365, 4.1375498, -1.7022575
9816, -0.0690918, -0.0275879, 0.9150391, -2.1753571, 4.1367721, -1.7011972
9828, -0.0732422, -0.0305176, 0.9147950, -2.1678531, 4.1429820, -1.7005177
9820, -0.0681152, -0.0273438, 0.9152832, -2.1556932, 4.1431589, -1.7014422
19652, -0.0737305, -0.0363770, 0.9138184, -2.1513617, 4.1455960, -1.6990163
9884, -0.0732422, -0.0383301, 0.9182129, -2.1500117, 4.1471896, -1.6996354
9848, -0.0715332, -0.0478516, 0.9016114, -2.1636645, 4.1499466, -1.6999177
9860, -0.0725098, -0.0383301, 0.9082032, -2.1645970, 4.1534919, -1.6990873
9828, -0.0747070, -0.0417480, 0.9064942, -2.1698443, 4.1626048, -1.6973086
9816, -0.0656738, -0.0478516, 0.9108887, -2.1824996, 4.1598138, -1.6953926
9852, -0.0751953, -0.0346680, 0.9094239, -2.1780741, 4.1670231, -1.6938743
12404, -0.0717773, -0.0471191, 0.9121094, -2.1873281, 4.1678128, -1.6948776
9872, -0.0686035, -0.0437012, 0.9104004, -2.1953198, 4.1665091, -1.6944730
9808, -0.0739746, -0.0424805, 0.9116211, -2.2005856, 4.1703004, -1.6950302
9800, -0.0690918, -0.0429687, 0.9165040, -2.2058432, 4.1696448, -1.6959547
9812, -0.0734863, -0.0441895, 0.9062500, -2.2144005, 4.1747446, -1.6984355
9804, -0.0788574, -0.0373535, 0.9113770, -2.2137470, 4.1886663, -1.7001241
9820, -0.0646973, -0.0319824, 0.9091797, -2.2077112, 4.1828017, -1.6986203
12372, -0.0778809, -0.0446777, 0.9108887, -2.2137935, 4.1942205, -1.6969815
9844, -0.0676270, -0.0432129, 0.9140625, -2.2186622, 4.1898770, -1.6960272
9816, -0.0700684, -0.0417480, 0.9052735, -2.2227499, 4.1906280, -1.6943571
9796, -0.0688477, -0.0314941, 0.9108887, -2.2153346, 4.1905870, -1.6938151
9836, -0.0747070, -0.0290527, 0.9038086, -2.2063288, 4.1985745, -1.6936708
9792, -0.0739746, -0.0283203, 0.8972168, -2.1970365, 4.2075471, -1.6940906
12348, -0.0661621, -0.0429687, 0.9079590, -2.2052838, 4.2036786, -1.6944985
9844, -0.0744629, -0.0363770, 0.9094239, -2.2032043, 4.2095708, -1.6945061
9808, -0.0690918, -0.0336914, 0.9096680, -2.2000074, 4.2114772, -1.6932931
9796, -0.0744629, -0.0390625, 0.9111329, -2.2014818, 4.2178764, -1.6931633
9832, -0.0749512, -0.0346680, 0.9074707, -2.1992893, 4.2229270, -1.6943482
9808, -0.0693359, -0.0368652, 0.8981934, -2.1994304, 4.2238912, -1.6955924
9824, -0.0695801, -0.0278320, 0.9016114, -2.1894102, 4.2272095, -1.6951427
12368, -0.0720215, -0.0402832, 0.9028321, -2.1926970, 4.2309927, -1.6955192
9848, -0.0690918, -0.0378418, 0.9091797, -2.1960453, 4.2297463, -1.6965360
9808, -0.0732422, -0.0278320, 0.9030762, -2.1863453, 4.2355971, -1.6966810
9820, -0.0729980, -0.0314941, 0.8994141, -2.1796600, 4.2380919, -1.6973000
9796, -0.0625000, -0.0310059, 0.8977051, -2.1725997, 4.2310729, -1.6996435
9812, -0.0688477, -0.0356445, 0.9025879, -2.1705183, 4.2306137, -1.6982778
9824, -0.0651855, -0.0373535, 0.9008790, -2.1729748, 4.2265591, -1.6969435
12392, -0.0700684, -0.0332031, 0.9094239, -2.1716859, 4.2273216, -1.6978696
9856, -0.0727539, -0.0268555, 0.9101563, -2.1604433, 4.2321777, -1.6976023
9824, -0.0661621, -0.0266113, 0.9011231, -2.1477956, 4.2314381, -1.6966947
9848, -0.0698242, -0.0261230, 0.9011231, -2.1363520, 4.2355570, -1.6957870
9812, -0.0612793, -0.0371094, 0.9050293, -2.1386346, 4.2284398, -1.6957946
