deltaT, accX, accY, accZ, thetaX, thetaY, thetaZ
9804, -0.0197754, -0.0170898, 0.9187012, -0.6754112, 1.3637005, 1.1463413
11968, -0.0236816, -0.0075684, 0.9072266, -0.6661963, 1.3654133, 1.1490628
9836, -0.0190430, -0.0148926, 0.9145508, -0.6698070, 1.3618844, 1.1533025
9780, -0.0224609, -0.0134277, 0.9118653, -0.6751262, 1.3611502, 1.1540437
9800, -0.0266113, -0.0075684, 0.9130860, -0.6674151, 1.3709696, 1.1537163
9796, -0.0219727, -0.0175781, 0.9128418, -0.6741339, 1.3750858, 1.1552078
9796, -0.0197754, -0.0026855, 0.9116211, -0.6632108, 1.3770422, 1.1565598
9788, -0.0209961, -0.0058594, 0.9111329, -0.6629884, 1.3738285, 1.1566903
19460, -0.0151367, -0.0070801, 0.9194336, -0.6595535, 1.3671356, 1.1572285
9856, -0.0195312, -0.0170898, 0.9147950, -0.6655283, 1.3636960, 1.1625499
9820, -0.0261230, -0.0063477, 0.9101563, -0.6581046, 1.3646668, 1.1618430
9804, -0.0161133, -0.0151367, 0.9157715, -0.6653531, 1.3600882, 1.1599888
9828, -0.0246582, -0.0134277, 0.9133301, -0.6684528, 1.3650535, 1.1608828
9820, -0.0214844, -0.0170898, 0.9047852, -0.6790547, 1.3639498, 1.1600385
9800, -0.0270996, -0.0085449, 0.9108887, -0.6730733, 1.3703255, 1.1578791
63808, -0.0288086, -0.0070801, 0.9184571, -0.6634116, 1.3884015, 1.1723942
9816, -0.0190430, -0.0214844, 0.9099122, -0.6776917, 1.3837990, 1.1760363
9780, -0.0205078, -0.0104980, 0.9104004, -0.6741008, 1.3843660, 1.1768409
9744, -0.0139160, -0.0090332, 0.9145508, -0.6744045, 1.3710240, 1.1764807
9768, -0.0339355, -0.0166016, 0.9133301, -0.6805967, 1.3861107, 1.1764608
9780, -0.0219727, -0.0085449, 0.9157715, -0.6753353, 1.3853638, 1.1739960
9816, -0.0134277, -0.0131836, 0.9150391, -0.6781019, 1.3748061, 1.1716403
12300, -0.0146484, -0.0083008, 0.9133301, -0.6738062, 1.3680335, 1.1709443
9812, -0.0153809, -0.0122070, 0.9143067, -0.6783411, 1.3598641, 1.1698251
9800, -0.0290527, -0.0051270, 0.9196778, -0.6718681, 1.3698899, 1.1691924
9776, -0.0263672, -0.0095215, 0.9165040, -0.6733719, 1.3736655, 1.1704092
9780, -0.0275879, -0.0166016, 0.9025879, -0.6775152, 1.3783694, 1.1716084
9780, -0.0158691, -0.0104980, 0.9089356, -0.6793699, 1.3691211, 1.1721971
9800, -0.0202637, -0.0065918, 0.9138184, -0.6692345, 1.3644587, 1.1701903
12316, -0.0144043, -0.0122070, 0.9113770, -0.6749128, 1.3577799, 1.1734615
9828, -0.0244141, -0.0095215, 0.9150391, -0.6702036, 1.3615850, 1.1753653
9796, -0.0256348, -0.0131836, 0.9177247, -0.6764073, 1.3702789, 1.1704577
9792, -0.0217285, -0.0119629, 0.9108887, -0.6792266, 1.3689903, 1.1693669
9792, -0.0283203, -0.0085449, 0.9111329, -0.6779531, 1.3790760, 1.1723699
9776, -0.0217285, -0.0197754, 0.9135743, -0.6899690, 1.3822455, 1.1718899
9800, -0.0175781, -0.0119629, 0.9179688, -0.6918726, 1.3776445, 1.1744632
12336, -0.0234375, -0.0075684, 0.9101563, -0.6860721, 1.3783200, 1.1729711
9824, -0.0170898, -0.0078125, 0.9086915, -0.6788822, 1.3717091, 1.1752390
9792, -0.0261230, -0.0112305, 0.9125977, -0.6818442, 1.3773777, 1.1771428
9804, -0.0249023, -0.0070801, 0.9152832, -0.6778873, 1.3807997, 1.1762048
9768, -0.0246582, -0.0048828, 0.9125977, -0.6723977, 1.3834146, 1.1758773
9788, -0.0148926, -0.0068359, 0.9160157, -0.6696568, 1.3719830, 1.1747581
12296, -0.0241699, -0.0156250, 0.9143067, -0.6739086, 1.3731105, 1.1752812
9832, -0.0192871, -0.0126953, 0.9028321, -0.6740702, 1.3686763, 1.1789516
9792, -0.0185547, -0.0219727, 0.9184571, -0.6885357, 1.3621934, 1.1794813
17368, -0.0288086, -0.0114746, 0.9079590, -0.6867721, 1.3673483, 1.1789247
12092, -0.0217285, -0.0119629, 0.9145508, -0.6842703, 1.3676353, 1.1829288
9900, -0.0202637, -0.0053711, 0.9138184, -0.6763551, 1.3642668, 1.1834083
