deltaT, accX, accY, accZ, thetaX, thetaY, thetaZ
9768, -0.0549316, -0.0473633, 0.9125977, -2.7401635, 3.3776006, 0.6290581
9768, -0.0566406, -0.0434570, 0.9079590, -2.7372195, 3.3772757, 0.6282522
9764, -0.0588379, -0.0473633, 0.9013672, -2.7393293, 3.3816354, 0.6283513
12344, -0.0556641, -0.0488281, 0.9174805, -2.7411737, 3.3803100, 0.6298837
9800, -0.0534668, -0.0480957, 0.9125977, -2.7436213, 3.3755009, 0.6293831
9776, -0.0583496, -0.0522461, 0.9025879, -2.7521753, 3.3803410, 0.6293448
9768, -0.0537109, -0.0537109, 0.9101563, -2.7615671, 3.3770492, 0.6284821
9760, -0.0515137, -0.0478516, 0.9050293, -2.7641808, 3.3697369, 0.6296609
9764, -0.0585937, -0.0458984, 0.9096680, -2.7643609, 3.3738532, 0.6301722
9756, -0.0551758, -0.0432129, 0.9145508, -2.7602231, 3.3739492, 0.6308930
19880, -0.0537109, -0.0451660, 0.9060059, -2.7606418, 3.3716783, 0.6311132
12068, -0.0581055, -0.0488281, 0.9086915, -2.7637562, 3.3709867, 0.6323446
9872, -0.0583496, -0.0468750, 0.9011231, -2.7635848, 3.3723804, 0.6331307
9788, -0.0512695, -0.0466309, 0.9082032, -2.7651276, 3.3639948, 0.6318668
9808, -0.0541992, -0.0500488, 0.9138184, -2.7676415, 3.3618166, 0.6306029
9788, -0.0527344, -0.0463867, 0.9052735, -2.7685110, 3.3573276, 0.6296028
12312, -0.0568848, -0.0478516, 0.9057618, -2.7714552, 3.3584384, 0.6286356
9816, -0.0576172, -0.0424805, 0.9082032, -2.7657663, 3.3610684, 0.6279824
9764, -0.0585937, -0.0478516, 0.9033204, -2.7693233, 3.3664281, 0.6276345
9768, -0.0534668, -0.0498047, 0.9084473, -2.7724368, 3.3620586, 0.6271339
9764, -0.0537109, -0.0473633, 0.9057618, -2.7722694, 3.3594458, 0.6259963
9764, -0.0612793, -0.0466309, 0.9116211, -2.7712256, 3.3663206, 0.6247324
9792, -0.0529785, -0.0527344, 0.9101563, -2.7788572, 3.3630435, 0.6244194
19568, -0.0544434, -0.0495605, 0.9182129, -2.7788641, 3.3589534, 0.6246396
9840, -0.0629883, -0.0454102, 0.9196778, -2.7756371, 3.3655030, 0.6239142
9804, -0.0622559, -0.0476074, 0.9094239, -2.7755944, 3.3720178, 0.6244824
9792, -0.0559082, -0.0444336, 0.9069825, -2.7751381, 3.3713743, 0.6250505
9788, -0.0512695, -0.0490723, 0.9079590, -2.7772786, 3.3630175, 0.6234813
9792, -0.0590820, -0.0419922, 0.8942872, -2.7718768, 3.3682281, 0.6235804
9796, -0.0556641, -0.0424805, 0.9067383, -2.7674055, 3.3687191, 0.6246066
12332, -0.0573730, -0.0500488, 0.9101563, -2.7727973, 3.3693246, 0.6257421
9804, -0.0546875, -0.0400391, 0.9125977, -2.7635200, 3.3680832, 0.6267683
9764, -0.0512695, -0.0485840, 0.9072266, -2.7667949, 3.3630585, 0.6271421
9768, -0.0559082, -0.0432129, 0.9069825, -2.7626709, 3.3632788, 0.6266416
9772, -0.0537109, -0.0412598, 0.9108887, -2.7542779, 3.3617687, 0.6272097
9760, -0.0544434, -0.0500488, 0.9077149, -2.7593138, 3.3600363, 0.6273198
9760, -0.0522461, -0.0432129, 0.9113770, -2.7546453, 3.3531885, 0.6282433
12372, -0.0549316, -0.0498047, 0.9123536, -2.7593634, 3.3480474, 0.6305739
9804, -0.0551758, -0.0507812, 0.9055176, -2.7628476, 3.3457965, 0.6303592
9764, -0.0563965, -0.0505371, 0.9082032, -2.7690260, 3.3463311, 0.6319698
9760, -0.0559082, -0.0546875, 0.9069825, -2.7771492, 3.3456666, 0.6302826
9756, -0.0578613, -0.0412598, 0.9118653, -2.7685549, 3.3475465, 0.6309313
9776, -0.0502930, -0.0515137, 0.9104004, -2.7753510, 3.3409798, 0.6295190
9744, -0.0544434, -0.0417480, 0.9079590, -2.7706398, 3.3382823, 0.6296401
12312, -0.0590820, -0.0432129, 0.9050293, -2.7668766, 3.3454983, 0.6306882
9788, -0.0532227, -0.0507812, 0.9116211, -2.7713634, 3.3440363, 0.6298255
9788, -0.0512695, -0.0480957, 0.9011231, -2.7735753, 3.3391242, 0.6311571
9796, -0.0566406, -0.0495605, 0.9045411, -2.7760593, 3.3389286, 0.6295878
9748, -0.0571289, -0.0461426, 0.9133301, -2.7764477, 3.3420803, 0.6292399
9764, -0.0515137, -0.0498047, 0.9133301, -2.7794513, 3.3371303, 0.6296138
9776, -0.0583496, -0.0410156, 0.9028321, -2.7735984, 3.3420224, 0.6303346
12336, -0.0598145, -0.0439453, 0.9123536, -2.7702395, 3.3488838, 0.6290884
9824, -0.0534668, -0.0485840, 0.9069825, -2.7724542, 3.3464822, 0.6285005
9760, -0.0717773, -0.0427246, 0.9111329, -2.7674295, 3.3638563, 0.6262637
9784, -0.0588379, -0.0568848, 0.9094239, -2.7791452, 3.3662526, 0.6260685
9768, -0.0476074, -0.0473633, 0.9013672, -2.7814247, 3.3580129, 0.6249572
9772, -0.0490723, -0.0415039, 0.9282227, -2.7736532, 3.3490757, 0.6247620
12316, -0.0476074, -0.0517578, 0.9055176, -2.7792322, 3.3384799, 0.6243445
9808, -0.0627441, -0.0522461, 0.9113770, -2.7850215, 3.3479561, 0.6243062
9776, -0.0578613, -0.0339355, 0.9101563, -2.7720763, 3.3526051, 0.6239235
17336, -0.0603027, -0.0483398, 0.9074707, -2.7691948, 3.3559484, 0.6220343
12064, -0.0527344, -0.0468750, 0.9089356, -2.7681493, 3.3526890, 0.6210672
9860, -0.0561523, -0.0488281, 0.9047852, -2.7712054, 3.3528854, 0.6206168
9792, -0.0583496, -0.0473633, 0.9152832, -2.7734229, 3.3550202, 0.6204020
12328, -0.0607910, -0.0515137, 0.9025879, -2.7793130, 3.3644070, 0.6212670
9836, -0.0590820, -0.0439453, 0.9082032, -2.7766668, 3.3663694, 0.6208165
9756, -0.0551758, -0.0437012, 0.9047852, -2.7705402, 3.3656132, 0.6183311
9776, -0.0578613, -0.0507812, 0.9104004, -2.7749924, 3.3680830, 0.6185939
9752, -0.0520020, -0.0495605, 0.9062500, -2.7781398, 3.3623185, 0.6180060
9736, -0.0559082, -0.0507812, 0.9155274, -2.7829356, 3.3626313, 0.6171433
9780, -0.0541992, -0.0393066, 0.9052735, -2.7745716, 3.3601026, 0.6169676
12320, -0.0510254, -0.0473633, 0.9057618, -2.7761085, 3.3547527, 0.6163168
9816, -0.0603027, -0.0451660, 0.9133301, -2.7736756, 3.3581459, 0.6165796
9776, -0.0541992, -0.0468750, 0.9152832, -2.7727291, 3.3555865, 0.6168161
9788, -0.0576172, -0.0434570, 0.9055176, -2.7693619, 3.3567523, 0.6183003
9764, -0.0515137, -0.0412598, 0.9084473, -2.7631661, 3.3505010, 0.6177997
9768, -0.0568848, -0.0539551, 0.9082032, -2.7708227, 3.3532412, 0.6162304
9760, -0.0573730, -0.0458984, 0.9028321, -2.7686312, 3.3549723, 0.6156425
19616, -0.0527344, -0.0500488, 0.9123536, -2.7717206, 3.3494350, 0.6115006
9820, -0.0554199, -0.0466309, 0.9140625, -2.7707316, 3.3468174, 0.6116106
9796, -0.0539551, -0.0449219, 0.9062500, -2.7681093, 3.3443500, 0.6124841
9788, -0.0544434, -0.0395508, 0.9228516, -2.7565107, 3.3405895, 0.6121710
9792, -0.0578613, -0.0505371, 0.9052735, -2.7603754, 3.3454420, 0.6130445
9784, -0.0556641, -0.0454102, 0.9023438, -2.7585160, 3.3469409, 0.6113224
9792, -0.0576172, -0.0417480, 0.9072266, -2.7531661, 3.3491773, 0.6086845
12324, -0.0549316, -0.0476074, 0.9091797, -2.7528095, 3.3495099, 0.6082670
9784, -0.0549316, -0.0485840, 0.9111329, -2.7544980, 3.3507173, 0.6065798
9764, -0.0529785, -0.0456543, 0.9052735, -2.7531833, 3.3480625, 0.6054686
9768, -0.0532227, -0.0480957, 0.9094239, -2.7560417, 3.3459124, 0.6057314
